"Access","Access Start (UTCG)","Access End (UTCG)","Duration (sec)","Asset Full Name"
65,1 Nov 2021 02:35:09.746,1 Nov 2021 02:37:10.068,120.321,"Cordoba"
66,1 Nov 2021 02:55:24.957,1 Nov 2021 02:57:14.554,109.598,"Maspalomas"
67,1 Nov 2021 02:58:33.313,1 Nov 2021 03:01:47.947,194.634,"Puertollano"
68,1 Nov 2021 03:46:19.127,1 Nov 2021 03:50:00.589,221.463,"Awarua"
69,1 Nov 2021 04:30:57.610,1 Nov 2021 04:34:13.114,195.504,"Azores"
70,1 Nov 2021 05:03:38.592,1 Nov 2021 05:05:40.726,122.134,"Singapore"
71,1 Nov 2021 05:11:23.195,1 Nov 2021 05:14:23.797,180.603,"Mingenew"
72,1 Nov 2021 05:23:03.059,1 Nov 2021 05:26:04.948,181.888,"Awarua"
73,1 Nov 2021 05:53:33.602,1 Nov 2021 05:55:13.144,99.542,"Panama"
74,1 Nov 2021 06:26:13.830,1 Nov 2021 06:29:53.671,219.841,"Dubai"
75,1 Nov 2021 06:59:53.188,1 Nov 2021 07:02:42.264,169.076,"Awarua"
76,1 Nov 2021 07:54:53.930,1 Nov 2021 07:58:15.520,201.590,"Nemea"
77,1 Nov 2021 08:35:53.568,1 Nov 2021 08:39:41.783,228.215,"Awarua"
78,1 Nov 2021 09:04:06.898,1 Nov 2021 09:07:00.219,173.322,"Los_Angeles"
79,1 Nov 2021 09:26:29.048,1 Nov 2021 09:30:05.200,216.152,"Puertollano"
80,1 Nov 2021 10:31:46.105,1 Nov 2021 10:34:04.519,138.414,"Hawaii"
81,1 Nov 2021 10:58:53.345,1 Nov 2021 11:02:29.869,216.524,"Azores"
82,1 Nov 2021 11:02:46.516,1 Nov 2021 11:06:24.565,218.049,"Maspalomas"
83,1 Nov 2021 11:20:52.185,1 Nov 2021 11:24:27.324,215.139,"Hartebeesthoek"
84,1 Nov 2021 13:20:14.804,1 Nov 2021 13:20:51.789,36.984,"Mingenew"
85,1 Nov 2021 16:35:33.666,1 Nov 2021 16:39:12.254,218.588,"Singapore"
86,1 Nov 2021 16:46:02.393,1 Nov 2021 16:49:12.468,190.075,"Jeju"
87,1 Nov 2021 16:48:21.397,1 Nov 2021 16:51:54.276,212.880,"Tokyo"
88,1 Nov 2021 17:09:37.587,1 Nov 2021 17:13:17.971,220.384,"Los_Angeles"
89,1 Nov 2021 17:31:44.774,1 Nov 2021 17:35:19.454,214.680,"Cordoba"
90,1 Nov 2021 18:00:30.270,1 Nov 2021 18:02:33.115,122.845,"Mauritius"
91,1 Nov 2021 19:30:57.707,1 Nov 2021 19:32:25.920,88.213,"Hartebeesthoek"
92,1 Nov 2021 20:19:18.234,1 Nov 2021 20:21:46.072,147.838,"Hawaii"
93,1 Nov 2021 20:46:13.931,1 Nov 2021 20:49:34.875,200.944,"Punta_Arenas"
